ID;Status;Type;Lenght;Managed by;Municipality;Google Maps;Geographical coordinates;Geo Shape
2268;project;;;Régional;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.85494180210172%2C4.360155781993845;50.85494180210172, 4.360155781993845;"{""coordinates"": [4.360155781993845, 50.85494180210172], ""type"": ""Point""}"
2273;project;;;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.84086872747662%2C4.365565472368473;50.84086872747662, 4.365565472368473;"{""coordinates"": [4.365565472368473, 50.84086872747662], ""type"": ""Point""}"
2278;project;;;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.85026230053887%2C4.339457234241605;50.85026230053887, 4.339457234241605;"{""coordinates"": [4.339457234241605, 50.85026230053887], ""type"": ""Point""}"
2288;project;;;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.90977030124238%2C4.390884102112841;50.90977030124238, 4.390884102112841;"{""coordinates"": [4.390884102112841, 50.90977030124238], ""type"": ""Point""}"
1;active;;;Berchem-Saint-Agathe;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.860591140979075%2C4.287206322100595;50.860591140979075, 4.287206322100595;"{""coordinates"": [4.287206322100595, 50.860591140979075], ""type"": ""Point""}"
2;active;;;Berchem-Saint-Agathe;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.86034509721753%2C4.283209783369342;50.86034509721753, 4.283209783369342;"{""coordinates"": [4.283209783369342, 50.86034509721753], ""type"": ""Point""}"
7;active;;;Berchem-Saint-Agathe;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.86712162817449%2C4.281630130592275;50.86712162817449, 4.281630130592275;"{""coordinates"": [4.281630130592275, 50.86712162817449], ""type"": ""Point""}"
18;active;;;Berchem-Saint-Agathe;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.86608445753917%2C4.305198443852325;50.86608445753917, 4.305198443852325;"{""coordinates"": [4.305198443852325, 50.86608445753917], ""type"": ""Point""}"
19;active;;;Berchem-Saint-Agathe;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.868826964028386%2C4.309938192378935;50.868826964028386, 4.309938192378935;"{""coordinates"": [4.309938192378935, 50.868826964028386], ""type"": ""Point""}"
22;active;;;Berchem-Saint-Agathe;Anderlecht;https://www.google.com/maps/search/?api=1&query=50.86101172719007%2C4.289664266080618;50.86101172719007, 4.289664266080618;"{""coordinates"": [4.289664266080618, 50.86101172719007], ""type"": ""Point""}"
25;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.82583942862147%2C4.4040431370300475;50.82583942862147, 4.4040431370300475;"{""coordinates"": [4.404043137030047, 50.82583942862147], ""type"": ""Point""}"
26;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.82368482845496%2C4.409258082680401;50.82368482845496, 4.409258082680401;"{""coordinates"": [4.409258082680401, 50.82368482845496], ""type"": ""Point""}"
34;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.81143784258765%2C4.422835259649317;50.81143784258765, 4.422835259649317;"{""coordinates"": [4.422835259649317, 50.81143784258765], ""type"": ""Point""}"
37;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.8209224390782%2C4.425906251107905;50.8209224390782, 4.425906251107905;"{""coordinates"": [4.425906251107905, 50.8209224390782], ""type"": ""Point""}"
38;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.81881794603237%2C4.431774591095199;50.81881794603237, 4.431774591095199;"{""coordinates"": [4.431774591095199, 50.81881794603237], ""type"": ""Point""}"
39;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.811739194282865%2C4.431846916204365;50.811739194282865, 4.431846916204365;"{""coordinates"": [4.431846916204365, 50.811739194282865], ""type"": ""Point""}"
43;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.810092857703374%2C4.43613516671392;50.810092857703374, 4.43613516671392;"{""coordinates"": [4.43613516671392, 50.810092857703374], ""type"": ""Point""}"
45;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.80242537560734%2C4.4338387681670275;50.80242537560734, 4.4338387681670275;"{""coordinates"": [4.433838768167027, 50.80242537560734], ""type"": ""Point""}"
46;active;;;Auderghem;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.804342455018364%2C4.439119016503268;50.804342455018364, 4.439119016503268;"{""coordinates"": [4.439119016503268, 50.804342455018364], ""type"": ""Point""}"
50;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.82636437095504%2C4.366891694085773;50.82636437095504, 4.366891694085773;"{""coordinates"": [4.366891694085773, 50.82636437095504], ""type"": ""Point""}"
59;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.831470025367025%2C4.378384191574868;50.831470025367025, 4.378384191574868;"{""coordinates"": [4.378384191574868, 50.831470025367025], ""type"": ""Point""}"
61;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.8330302577844%2C4.374638521083389;50.8330302577844, 4.374638521083389;"{""coordinates"": [4.374638521083389, 50.8330302577844], ""type"": ""Point""}"
73;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.821017126016415%2C4.3775055974941806;50.821017126016415, 4.3775055974941806;"{""coordinates"": [4.377505597494181, 50.821017126016415], ""type"": ""Point""}"
77;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.82202668359947%2C4.373142734707265;50.82202668359947, 4.373142734707265;"{""coordinates"": [4.373142734707265, 50.82202668359947], ""type"": ""Point""}"
82;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.8170583498567%2C4.392301291450423;50.8170583498567, 4.392301291450423;"{""coordinates"": [4.392301291450423, 50.8170583498567], ""type"": ""Point""}"
92;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.8128121587199%2C4.3880115089210845;50.8128121587199, 4.3880115089210845;"{""coordinates"": [4.388011508921084, 50.8128121587199], ""type"": ""Point""}"
93;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.81086762961784%2C4.385743858317671;50.81086762961784, 4.385743858317671;"{""coordinates"": [4.385743858317671, 50.81086762961784], ""type"": ""Point""}"
95;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.811331297777635%2C4.389816067317728;50.811331297777635, 4.389816067317728;"{""coordinates"": [4.389816067317728, 50.811331297777635], ""type"": ""Point""}"
104;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.801570930288115%2C4.392990282153448;50.801570930288115, 4.392990282153448;"{""coordinates"": [4.392990282153448, 50.801570930288115], ""type"": ""Point""}"
116;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.81887860140077%2C4.357692943884893;50.81887860140077, 4.357692943884893;"{""coordinates"": [4.357692943884893, 50.81887860140077], ""type"": ""Point""}"
123;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.82374585276814%2C4.363197733231081;50.82374585276814, 4.363197733231081;"{""coordinates"": [4.363197733231081, 50.82374585276814], ""type"": ""Point""}"
124;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.82301371652338%2C4.3652736628068975;50.82301371652338, 4.3652736628068975;"{""coordinates"": [4.365273662806898, 50.82301371652338], ""type"": ""Point""}"
131;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.833575268444115%2C4.365841119390808;50.833575268444115, 4.365841119390808;"{""coordinates"": [4.365841119390808, 50.833575268444115], ""type"": ""Point""}"
132;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.83324857877812%2C4.371180781853108;50.83324857877812, 4.371180781853108;"{""coordinates"": [4.371180781853108, 50.83324857877812], ""type"": ""Point""}"
138;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.81926664277419%2C4.389826567311881;50.81926664277419, 4.389826567311881;"{""coordinates"": [4.389826567311881, 50.81926664277419], ""type"": ""Point""}"
151;active;;;Ixelles;Ixelles Elsene;https://www.google.com/maps/search/?api=1&query=50.83488704636345%2C4.3578796762586505;50.83488704636345, 4.3578796762586505;"{""coordinates"": [4.35787967625865, 50.83488704636345], ""type"": ""Point""}"
166;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84125212145287%2C4.431608360615137;50.84125212145287, 4.431608360615137;"{""coordinates"": [4.431608360615137, 50.84125212145287], ""type"": ""Point""}"
174;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.849321249138775%2C4.431415764069733;50.849321249138775, 4.431415764069733;"{""coordinates"": [4.431415764069733, 50.849321249138775], ""type"": ""Point""}"
176;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.8466827888057%2C4.406195357130515;50.8466827888057, 4.406195357130515;"{""coordinates"": [4.406195357130515, 50.8466827888057], ""type"": ""Point""}"
178;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.839414154153424%2C4.404924715651953;50.839414154153424, 4.404924715651953;"{""coordinates"": [4.404924715651953, 50.839414154153424], ""type"": ""Point""}"
184;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.846276295371545%2C4.414761603405421;50.846276295371545, 4.414761603405421;"{""coordinates"": [4.414761603405421, 50.846276295371545], ""type"": ""Point""}"
191;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.847777659548434%2C4.417436104859664;50.847777659548434, 4.417436104859664;"{""coordinates"": [4.417436104859664, 50.847777659548434], ""type"": ""Point""}"
194;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.85268069775661%2C4.424097819066383;50.85268069775661, 4.424097819066383;"{""coordinates"": [4.424097819066383, 50.85268069775661], ""type"": ""Point""}"
196;active;;;Woluwe-Saint-Lambert;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.85303294689681%2C4.437375636682388;50.85303294689681, 4.437375636682388;"{""coordinates"": [4.437375636682388, 50.85303294689681], ""type"": ""Point""}"
